datasetName,totNumFlaky,totNumNonFlaky,numFlakyTrain,numNonFlakyTrain,numFlakyTest,numNonFlakyTest,totTrainTime,totTestTime,avgTestTime,f1Score,Precision,Recall,Accuracy,Sensitivity,Specificity,tp,fp,fn,tn,tp_norm,fp_norm,fn_norm,tn_norm
DeFlaker_handlebars,7,523,6,470.5714286,1,52.42857143,0.273756054,0.035862295,0.000671397,1,1,1,1,1,1,1,0,0,52.42857143,1,0,0,1
DeFlaker_logback,11,1041,9.9,936.9,1.1,104.1,0.509396448,0.07022356,0.000667528,0.663333333,0.566666667,0.9,0.989541611,0.909090909,0.990393852,1,1,0.1,103.1,0.5,0.5,0.000968992,0.999031008
DeFlaker_okhttp,32,1199,28.8,1079.1,3.2,119.9,0.668762848,0.093732109,0.000761535,0.845238095,0.833333333,0.775,0.990243687,0.78125,0.995829858,2.5,0.5,0.7,119.4,0.833333333,0.166666667,0.005828476,0.994171524
DeFlaker_tachyon,7,609,6,548,1,61,0.343262944,0.044294113,0.000714421,1,1,0.285714286,0.988479263,0.285714286,1,0.285714286,0,0.714285714,61,1,0,0.011574074,0.988425926
iDFlakies_activiti,20,33,18,29.7,2,3.3,0.064730178,0.008212764,0.001548289,0.91,0.883333333,0.95,0.926666667,0.95,0.909090909,1.9,0.3,0.1,3,0.863636364,0.136363636,0.032258065,0.967741935
iDFlakies_apache-hadoop,68,1053,61.2,947.7,6.8,105.3,0.592074255,0.080776096,0.000720568,0.651266511,0.943333333,0.516666667,0.967927544,0.514705882,0.997150997,3.5,0.3,3.3,105,0.921052632,0.078947368,0.030470914,0.969529086
iDFlakies_apache-incubator-dubbo,21,486,18.9,437.4,2.1,48.6,0.24719049,0.033574415,0.00066234,0.504761905,0.571428571,0.35,0.960544495,0.333333333,0.987654321,0.7,0.6,1.4,48,0.538461538,0.461538462,0.028340081,0.971659919
iDFlakies_elastic-job-lite,10,775,9,697.5,1,77.5,0.33457959,0.047720595,0.000607994,-,-,0,0.98726063,0,1,0,0,1,77.5,-,-,-,-
iDFlakies_http-request,28,140,25.2,126,2.8,14,0.112972363,0.014186208,0.000844942,0.92,1,0.866666667,0.976470588,0.857142857,1,2.4,0,0.4,14,1,0,0.027777778,0.972222222
iDFlakies_java-websocket,52,436,46.8,392.4,5.2,43.6,0.232576871,0.030385297,0.000622831,0.876689977,0.814285714,0.963333333,0.969129252,0.961538462,0.970183486,5,1.3,0.2,42.3,0.793650794,0.206349206,0.004705882,0.995294118
iDFlakies_retrofit,9,415,8,373.4444444,1,41.55555556,0.166468343,0.022668927,0.000532698,0.166666667,0.111111111,0.111111111,0.965916082,0.111111111,0.986631016,0.111111111,0.555555556,0.888888889,41,0.166666667,0.833333333,0.021220159,0.978779841
iDFlakies_vertx-rabbitmq-client,7,37,6,33.42857143,1,3.571428571,0.061291647,0.008175808,0.001795253,-,-,0,0.778571429,0,1,0,0,1,3.571428571,-,-,-,-
iDFlakies_wildfly,43,72,38.7,64.8,4.3,7.2,0.084988163,0.010901221,0.000948393,0.784761905,0.831666667,0.775,0.837296037,0.76744186,0.875,3.3,0.9,1,6.3,0.785714286,0.214285714,0.136986301,0.863013699
PalombaEtAl_ant-ivy,764,411,687.6,369.9,76.4,41.1,0.356085356,0.053832948,0.000458107,0.936866266,0.944925882,0.930468216,0.919063566,0.930628272,0.897810219,71.1,4.2,5.3,36.9,0.944223108,0.055776892,0.125592417,0.874407583
PalombaEtAl_apache-derby,84,10060,75.6,9054,8.4,1006,5.256430356,1.113444667,0.00109765,0.506519407,0.857407407,0.330555556,0.994085172,0.333333333,0.999602386,2.8,0.4,5.6,1005.6,0.875,0.125,0.005537975,0.994462025
PalombaEtAl_apache-hbase,277,2647,249.3,2382.3,27.7,264.7,1.728439802,0.253307585,0.000866313,0.714645343,0.863472074,0.613888889,0.953835779,0.613718412,0.989421987,17,2.8,10.7,261.9,0.858585859,0.141414141,0.039251651,0.960748349
PalombaEtAl_apache-hibernate-orm,127,3703,114.3,3332.7,12.7,370.3,1.407369456,0.254893677,0.00066552,0.808965789,0.859385198,0.771153846,0.987990193,0.771653543,0.995409128,9.8,1.7,2.9,368.6,0.852173913,0.147826087,0.007806191,0.992193809
PalombaEtAl_apache-hive,106,541,95.4,486.9,10.6,54.1,0.390752445,0.049504708,0.000765165,0.730357757,0.879166667,0.633636364,0.924393939,0.632075472,0.981515712,6.7,1,3.9,53.1,0.87012987,0.12987013,0.068421053,0.931578947
PalombaEtAl_apache-karaf,120,265,108,238.5,12,26.5,0.217389614,0.027004429,0.00070152,0.806744589,0.872393162,0.758333333,0.888596491,0.758333333,0.947169811,9.1,1.4,2.9,25.1,0.866666667,0.133333333,0.103571429,0.896428571
PalombaEtAl_apache-nutch,184,73,165.6,65.7,18.4,7.3,0.158105821,0.020489606,0.000798217,0.900018834,0.86628974,0.939766082,0.849202279,0.940217391,0.616438356,17.3,2.8,1.1,4.5,0.860696517,0.139303483,0.196428571,0.803571429
PalombaEtAl_apache-pig,1268,3528,1141.2,3175.2,126.8,352.8,2.324935975,0.398392214,0.000830712,0.868793477,0.883036076,0.856492938,0.931607392,0.856466877,0.95861678,108.6,14.6,18.2,338.2,0.881493506,0.118506494,0.051066218,0.948933782
PalombaEtAl_apache-qpid,271,1895,243.9,1705.5,27.1,189.5,0.923314922,0.138573283,0.000639712,0.703312982,0.841132587,0.612169312,0.936759432,0.612546125,0.983113456,16.6,3.2,10.5,186.3,0.838383838,0.161616162,0.053353659,0.946646341
PalombaEtAl_apache-wicket,216,1866,194.4,1679.4,21.6,186.6,0.860556297,0.124017721,0.000595654,0.653907468,0.89495671,0.518181818,0.943309525,0.518518519,0.99249732,11.2,1.4,10.4,185.2,0.888888889,0.111111111,0.053169734,0.946830266
PalombaEtAl_lucene-solr,7,5327,6,4794.285714,1,532.7142857,3.036769785,0.517416192,0.000969448,1,1,0.571428571,0.99919693,0.571428571,1,0.571428571,0,0.428571429,532.7142857,1,0,0.000803859,0.999196141
