datasetName,totNumFlaky,totNumNonFlaky,numFlakyTrain,numNonFlakyTrain,numFlakyTest,numNonFlakyTest,totTrainTime,totTestTime,avgTestTime,f1Score,Precision,Recall,Accuracy,Sensitivity,Specificity,tp,fp,fn,tn,tp_norm,fp_norm,fn_norm,tn_norm
DeFlaker_handlebars,7,523,6,470.5714286,1,52.42857143,0.244312623,0.031922071,0.000597611,-,-,0,0.981281821,0,1,0,0,1,52.42857143,-,-,-,-
DeFlaker_logback,11,1041,9.9,936.9,1.1,104.1,0.423586195,0.059649174,0.000566952,1,1,0.4,0.993368936,0.363636364,1,0.4,0,0.7,104.1,1,0,0.006679389,0.993320611
DeFlaker_okhttp,32,1199,28.8,1079.1,3.2,119.9,0.512267914,0.072507089,0.000588997,0,0,0,0.973203192,0,0.999165972,0,0.1,3.2,119.8,0,1,0.02601626,0.97398374
DeFlaker_tachyon,7,609,6,548,1,61,0.292943222,0.037702156,0.000608099,-,-,0,0.983870968,0,1,0,0,1,61,-,-,-,-
iDFlakies_activiti,20,33,18,29.7,2,3.3,0.049930517,0.006414799,0.001210863,0.866666667,1,0.8,0.926666667,0.8,1,1.6,0,0.4,3.3,1,0,0.108108108,0.891891892
iDFlakies_apache-hadoop,68,1053,61.2,947.7,6.8,105.3,0.559074303,0.073832439,0.000658622,0.346825397,1,0.173809524,0.950037941,0.176470588,1,1.2,0,5.6,105.3,1,0,0.050495942,0.949504058
iDFlakies_apache-incubator-dubbo,21,486,18.9,437.4,2.1,48.6,0.255910022,0.032909171,0.000649156,-,-,0,0.958622926,0,1,0,0,2.1,48.6,-,-,-,-
iDFlakies_elastic-job-lite,10,775,9,697.5,1,77.5,0.338292164,0.044863758,0.000571501,-,-,0,0.98726063,0,1,0,0,1,77.5,-,-,-,-
iDFlakies_http-request,28,140,25.2,126,2.8,14,0.103274673,0.013180301,0.000784505,0.833333333,1,0.733333333,0.958088235,0.75,1,2.1,0,0.7,14,1,0,0.047619048,0.952380952
iDFlakies_java-websocket,52,436,46.8,392.4,5.2,43.6,0.22577385,0.028973614,0.000593678,0.77511544,0.98,0.67,0.963047619,0.673076923,0.997706422,3.5,0.1,1.7,43.5,0.972222222,0.027777778,0.037610619,0.962389381
iDFlakies_retrofit,9,415,8,373.4444444,1,41.55555556,0.215360979,0.030133464,0.00070824,-,-,0,0.976498093,0,1,0,0,1,41.55555556,-,-,-,-
iDFlakies_vertx-rabbitmq-client,7,37,6,33.42857143,1,3.571428571,0.081879141,0.011002617,0.002414287,-,-,0,0.778571429,0,1,0,0,1,3.571428571,-,-,-,-
iDFlakies_wildfly,43,72,38.7,64.8,4.3,7.2,0.124046712,0.016396387,0.0014286,0.45,1,0.12,0.670920746,0.11627907,1,0.5,0,3.8,7.2,1,0,0.345454545,0.654545455
PalombaEtAl_ant-ivy,764,411,687.6,369.9,76.4,41.1,0.51089795,0.069496885,0.000591429,0.806577145,0.983582111,0.686995899,0.788871359,0.687172775,0.97810219,52.5,0.9,23.9,40.2,0.983146067,0.016853933,0.372854914,0.627145086
PalombaEtAl_apache-derby,84,10060,75.6,9054,8.4,1006,5.121766891,1.095523253,0.001079974,0.2,1,0.011111111,0.991817996,0.011904762,1,0.1,0,8.3,1006,1,0,0.008182983,0.991817017
PalombaEtAl_apache-hbase,277,2647,249.3,2382.3,27.7,264.7,1.729126193,0.250246495,0.000855865,0.427085104,0.980909091,0.278703704,0.930931354,0.277978339,0.999244428,7.7,0.2,20,264.5,0.974683544,0.025316456,0.07029877,0.92970123
PalombaEtAl_apache-hibernate-orm,127,3703,114.3,3332.7,12.7,370.3,1.36204445,0.255764725,0.00066782,0.576642587,0.983333333,0.41025641,0.980159303,0.409448819,0.999729949,5.2,0.1,7.5,370.2,0.981132075,0.018867925,0.019857029,0.980142971
PalombaEtAl_apache-hive,106,541,95.4,486.9,10.6,54.1,0.379189384,0.048213501,0.000745188,0.358461538,0.95,0.227272727,0.87177229,0.226415094,0.998151571,2.4,0.1,8.2,54,0.96,0.04,0.131832797,0.868167203
PalombaEtAl_apache-karaf,120,265,108,238.5,12,26.5,0.254805004,0.031376678,0.000814985,0.485664727,1,0.341666667,0.795074224,0.341666667,1,4.1,0,7.9,26.5,1,0,0.229651163,0.770348837
PalombaEtAl_apache-nutch,184,73,165.6,65.7,18.4,7.3,0.147199014,0.019553831,0.000761118,0.586686248,0.907142857,0.439766082,0.575447293,0.440217391,0.917808219,8.1,0.6,10.3,6.7,0.931034483,0.068965517,0.605882353,0.394117647
PalombaEtAl_apache-pig,1268,3528,1141.2,3175.2,126.8,352.8,2.531274784,0.415581887,0.000866533,0.651805713,0.966397551,0.492850894,0.861336297,0.492902208,0.993764172,62.5,2.2,64.3,350.6,0.965996909,0.034003091,0.154977103,0.845022897
PalombaEtAl_apache-qpid,271,1895,243.9,1705.5,27.1,189.5,0.896689271,0.134160374,0.000619362,0.300826637,0.985714286,0.184259259,0.89750983,0.184501845,0.999472296,5,0.1,22.1,189.4,0.980392157,0.019607843,0.104491726,0.895508274
PalombaEtAl_apache-wicket,216,1866,194.4,1679.4,21.6,186.6,0.878489491,0.127297354,0.00061141,0.07312253,0.833333333,0.022943723,0.898176271,0.023148148,0.999464094,0.5,0.1,21.1,186.5,0.833333333,0.166666667,0.101637765,0.898362235
PalombaEtAl_lucene-solr,7,5327,6,4794.285714,1,532.7142857,2.978645137,0.493863457,0.00092534,-,-,0,0.998126337,0,1,0,0,1,532.7142857,-,-,-,-
