datasetName,testSetSize,totNumFlaky,totNumNonFlaky,numFlakyTrain,numNonFlakyTrain,numFlakyTest,numNonFlakyTest,totTrainTime,totTestTime,avgTestTime,f1Score,Precision,Recall,Accuracy,Sensitivity,Specificity,tp,fp,fn,tn,tp_norm,fp_norm,fn_norm,tn_norm
DeFlaker_handlebars,0.25,7,523,5,392,2,131,0.20354913,0.072742585,0.000546937,0.98,0.966666667,1,0.99924812,1,0.999236641,2,0.1,0,130.9,0.952380952,0.047619048,0,1
DeFlaker_handlebars,0.8,7,523,1,105,6,418,0.054802833,0.221205666,0.000521711,-,-,0,0.985849057,0,1,0,0,6,418,-,-,-,-
DeFlaker_handlebars,0.35,7,523,5,339,2,184,0.176428236,0.10035115,0.000539522,0.98,0.966666667,1,0.999462366,1,0.999456522,2,0.1,0,183.9,0.952380952,0.047619048,0,1
DeFlaker_handlebars,0.9,7,523,1,52,6,471,0.02748382,0.247824467,0.000519548,-,-,0,0.987421384,0,1,0,0,6,471,-,-,-,-
DeFlaker_handlebars,0.85,7,523,1,78,6,445,0.040776433,0.234878072,0.000520794,-,-,0,0.986696231,0,1,0,0,6,445,-,-,-,-
DeFlaker_handlebars,0.45,7,523,4,287,3,236,0.149231731,0.127716563,0.000534379,0.971428571,0.95,1,0.99916318,1,0.999152542,3,0.2,0,235.8,0.9375,0.0625,0,1
DeFlaker_handlebars,0.55,7,523,3,235,4,288,0.122126464,0.155945134,0.000534059,0.952380952,1,0.925,0.998972603,0.925,1,3.7,0,0.3,288,1,0,0.001040583,0.998959417
DeFlaker_handlebars,0.65,7,523,2,183,5,340,0.095055727,0.182305659,0.000528422,0.35978836,1,0.2,0.988405797,0.2,1,1,0,4,340,1,0,0.011627907,0.988372093
DeFlaker_handlebars,0.75,7,523,2,130,5,393,0.067866607,0.20845485,0.000523756,0.478835979,1,0.3,0.99120603,0.3,1,1.5,0,3.5,393,1,0,0.008827238,0.991172762
DeFlaker_handlebars,0.4,7,523,4,314,3,209,0.163062939,0.113700533,0.000536323,0.971428571,0.95,1,0.999056604,1,0.999043062,3,0.2,0,208.8,0.9375,0.0625,0,1
DeFlaker_handlebars,0.5,7,523,3.3,261.7,3.7,261.3,0.135927301,0.140964443,0.000531941,0.985714286,0.975,1,0.999622642,1,0.999617298,3.7,0.1,0,261.2,0.973684211,0.026315789,0,1
DeFlaker_handlebars,0.7,7,523,2,157,5,366,0.081716162,0.194558355,0.000524416,0.35978836,1,0.2,0.989218329,0.2,1,1,0,4,366,1,0,0.010810811,0.989189189
DeFlaker_handlebars,0.6,7,523,3,209,4,314,0.108827086,0.168353765,0.000529414,1,1,1,1,1,1,4,0,0,314,1,0,0,1
DeFlaker_handlebars,0.2,7,523,6,418,1,105,0.21736194,0.059272417,0.000559174,1,1,1,1,1,1,1,0,0,105,1,0,0,1
DeFlaker_handlebars,0.3,7,523,5,366,2,157,0.190188832,0.086204579,0.000542167,1,1,1,1,1,1,2,0,0,157,1,0,0,1
DeFlaker_handlebars,0.1,7,523,6,471,1,52,0.244504278,0.031657607,0.000597313,1,1,1,1,1,1,1,0,0,52,1,0,0,1
DeFlaker_handlebars,0.15,7,523,6,444,1,79,0.230693502,0.045413271,0.000567666,0.966666667,0.95,1,0.99875,1,0.998734177,1,0.1,0,78.9,0.909090909,0.090909091,0,1
DeFlaker_logback,0.8,11,1041,2,208,9,833,0.106370662,0.43802304,0.000520217,0.555804196,1,0.2,0.991448931,0.2,1,1.8,0,7.2,833,1,0,0.008569388,0.991430612
DeFlaker_logback,0.9,11,1041,1,104,10,937,0.053414919,0.488013604,0.000515326,0.282828283,1,0.05,0.989968321,0.05,1,0.5,0,9.5,937,1,0,0.010036978,0.989963022
DeFlaker_logback,0.15,11,1041,9,885,2,156,0.451740176,0.092121008,0.000583044,0.674285714,0.563333333,0.9,0.988607595,0.9,0.98974359,1.8,1.6,0.2,154.4,0.529411765,0.470588235,0.001293661,0.998706339
