datasetName,testSetSize,totNumFlaky,totNumNonFlaky,numFlakyTrain,numNonFlakyTrain,numFlakyTest,numNonFlakyTest,totTrainTime,totTestTime,avgTestTime,f1Score,Precision,Recall,Accuracy,Sensitivity,Specificity,tp,fp,fn,tn,tp_norm,fp_norm,fn_norm,tn_norm
DeFlaker_handlebars,0.25,7,523,5,392,2,131,0.223097001,0.085489605,0.000642779,-,-,0,0.984962406,0,1,0,0,2,131,-,-,-,-
DeFlaker_handlebars,0.8,7,523,1,105,6,418,0.059921951,0.241853721,0.00057041,-,-,0,0.985849057,0,1,0,0,6,418,-,-,-,-
DeFlaker_handlebars,0.35,7,523,5,339,2,184,0.192892648,0.11203835,0.000602357,-,-,0,0.989247312,0,1,0,0,2,184,-,-,-,-
DeFlaker_handlebars,0.9,7,523,1,52,6,471,0.030087624,0.271732357,0.00056967,-,-,0,0.987421384,0,1,0,0,6,471,-,-,-,-
DeFlaker_handlebars,0.85,7,523,1,78,6,445,0.044494486,0.257101806,0.000570071,-,-,0,0.986696231,0,1,0,0,6,445,-,-,-,-
DeFlaker_handlebars,0.45,7,523,4,287,3,236,0.16315286,0.143069671,0.000598618,-,-,0,0.987447699,0,1,0,0,3,236,-,-,-,-
DeFlaker_handlebars,0.55,7,523,3,235,4,288,0.133765691,0.173423523,0.000593916,-,-,0,0.98630137,0,1,0,0,4,288,-,-,-,-
DeFlaker_handlebars,0.65,7,523,2,183,5,340,0.104104302,0.201441414,0.000583888,-,-,0,0.985507246,0,1,0,0,5,340,-,-,-,-
DeFlaker_handlebars,0.75,7,523,2,130,5,393,0.074159151,0.229717334,0.000577179,-,-,0,0.987437186,0,1,0,0,5,393,-,-,-,-
DeFlaker_handlebars,0.4,7,523,4,314,3,209,0.178683649,0.128735843,0.000607245,-,-,0,0.985849057,0,1,0,0,3,209,-,-,-,-
DeFlaker_handlebars,0.5,7,523,3.3,261.7,3.7,261.3,0.148964912,0.15704975,0.000592641,-,-,0,0.986037736,0,1,0,0,3.7,261.3,-,-,-,-
DeFlaker_handlebars,0.7,7,523,2,157,5,366,0.089507584,0.216441182,0.000583399,-,-,0,0.986522911,0,1,0,0,5,366,-,-,-,-
DeFlaker_handlebars,0.6,7,523,3,209,4,314,0.119295692,0.189832208,0.000596957,-,-,0,0.987421384,0,1,0,0,4,314,-,-,-,-
DeFlaker_handlebars,0.2,7,523,6,418,1,105,0.237633338,0.068077731,0.000642243,-,-,0,0.990566038,0,1,0,0,1,105,-,-,-,-
DeFlaker_handlebars,0.3,7,523,5,366,2,157,0.207687969,0.097513758,0.000613294,-,-,0,0.987421384,0,1,0,0,2,157,-,-,-,-
DeFlaker_handlebars,0.1,7,523,6,471,1,52,0.268834666,0.038439703,0.000725277,-,-,0,0.981132075,0,1,0,0,1,52,-,-,-,-
DeFlaker_handlebars,0.15,7,523,6,444,1,79,0.252745655,0.054410745,0.000680134,-,-,0,0.9875,0,1,0,0,1,79,-,-,-,-
DeFlaker_logback,0.8,11,1041,2,208,9,833,0.145575723,0.601529273,0.000714405,-,-,0,0.989311164,0,1,0,0,9,833,-,-,-,-
DeFlaker_logback,0.9,11,1041,1,104,10,937,0.073028489,0.67045443,0.000707977,-,-,0,0.989440338,0,1,0,0,10,937,-,-,-,-
DeFlaker_logback,0.15,11,1041,9,885,2,156,0.618303214,0.124336159,0.000786938,0.666666667,1,0.15,0.989240506,0.15,1,0.3,0,1.7,156,1,0,0.010779962,0.989220038
DeFlaker_logback,0.65,11,1041,4,364,7,677,0.254793639,0.499993759,0.000730985,-,-,0,0.989766082,0,1,0,0,7,677,-,-,-,-
DeFlaker_logback,0.75,11,1041,3,260,8,781,0.18233632,0.567734661,0.000719562,-,-,0,0.989860583,0,1,0,0,8,781,-,-,-,-
DeFlaker_logback,0.45,11,1041,6,572,5,469,0.400384936,0.360081779,0.000759666,-,-,0,0.989451477,0,1,0,0,5,469,-,-,-,-
DeFlaker_logback,0.85,11,1041,2,155,9,886,0.10926799,0.639194486,0.000714184,-,-,0,0.989944134,0,1,0,0,9,886,-,-,-,-
DeFlaker_logback,0.95,11,1041,1,51,10,990,0.036415685,0.705463915,0.000705464,-,-,0,0.99,0,1,0,0,10,990,-,-,-,-
DeFlaker_logback,0.55,11,1041,5,468,6,573,0.327113684,0.425346005,0.000734622,-,-,0,0.989637306,0,1,0,0,6,573,-,-,-,-
DeFlaker_logback,0.1,11,1041,10,936,1,105,0.653848939,0.085401692,0.000805676,1,1,0.3,0.993396226,0.3,1,0.3,0,0.7,105,1,0,0.006622517,0.993377483
DeFlaker_logback,0.2,11,1041,9,832,2,209,0.581694444,0.160890803,0.000762516,0.5,0.75,0.15,0.990995261,0.15,0.999043062,0.3,0.2,1.7,208.8,0.6,0.4,0.00807601,0.99192399
DeFlaker_logback,0.25,11,1041,8,781,3,260,0.545895535,0.201162153,0.000764875,0.433333333,0.666666667,0.1,0.989353612,0.1,0.999615385,0.3,0.1,2.7,259.9,0.75,0.25,0.010281797,0.989718203
DeFlaker_logback,0.3,11,1041,8,728,3,313,0.510009631,0.253581767,0.000802474,0.433333333,0.666666667,0.1,0.990822785,0.1,0.999361022,0.3,0.2,2.7,312.8,0.6,0.4,0.008557845,0.991442155
DeFlaker_logback,0.7,11,1041,3,312,8,729,0.218542943,0.532759492,0.000722876,-,-,0,0.989145183,0,1,0,0,8,729,-,-,-,-
DeFlaker_logback,0.35,11,1041,7,676,4,365,0.472700986,0.279079983,0.000756314,0,0,0,0.988617886,0,0.999452055,0,0.2,4,364.8,0,1,0.010845987,0.989154013
DeFlaker_logback,0.6,11,1041,4,416,7,625,0.290837625,0.460707213,0.000728967,-,-,0,0.988924051,0,1,0,0,7,625,-,-,-,-
DeFlaker_logback,0.4,11,1041,7,624,4,417,0.436802134,0.315560824,0.000749551,0,0,0,0.990261283,0,0.999760192,0,0.1,4,416.9,0,1,0.009503445,0.990496555
DeFlaker_logback,0.5,11,1041,5.6,520.4,5.4,520.6,0.364047923,0.390008785,0.000741462,-,-,0,0.98973384,0,1,0,0,5.4,520.6,-,-,-,-
DeFlaker_okhttp,0.35,32,1199,21,779,11,420,0.38313585,0.240049318,0.000556959,0.166666667,1,0.018181818,0.974941995,0.018181818,1,0.2,0,10.8,420,1,0,0.025069638,0.974930362
DeFlaker_okhttp,0.9,32,1199,3,120,29,1079,0.059197583,0.543803163,0.000490797,-,-,0,0.973826715,0,1,0,0,29,1079,-,-,-,-
DeFlaker_okhttp,0.8,32,1199,6,240,26,959,0.118145938,0.490352882,0.00049782,-,-,0,0.973604061,0,1,0,0,26,959,-,-,-,-
DeFlaker_okhttp,0.25,32,1199,24,899,8,300,0.441803378,0.174302196,0.000565916,0.222222222,1,0.0125,0.974350649,0.0125,1,0.1,0,7.9,300,1,0,0.025657681,0.974342319
DeFlaker_okhttp,0.95,32,1199,2,59,30,1140,0.029645516,0.571305174,0.000488295,-,-,0,0.974358974,0,1,0,0,30,1140,-,-,-,-
DeFlaker_okhttp,0.55,32,1199,14,539,18,660,0.264516589,0.349580459,0.000515605,0.105263158,1,0.005555556,0.97359882,0.005555556,1,0.1,0,17.9,660,1,0,0.026405074,0.973594926
DeFlaker_okhttp,0.45,32,1199,18,659,14,540,0.324473432,0.299020172,0.000539748,-,-,0,0.974729242,0,1,0,0,14,540,-,-,-,-
DeFlaker_okhttp,0.85,32,1199,5,179,27,1020,0.088475996,0.517389426,0.000494164,-,-,0,0.974212034,0,1,0,0,27,1020,-,-,-,-
DeFlaker_okhttp,0.75,32,1199,8,299,24,900,0.147096786,0.46361066,0.000501743,-,-,0,0.974025974,0,1,0,0,24,900,-,-,-,-
DeFlaker_okhttp,0.65,32,1199,11,419,21,780,0.205648594,0.405857811,0.000506689,0.090909091,1,0.004761905,0.973907615,0.004761905,1,0.1,0,20.9,780,1,0,0.026095642,0.973904358
DeFlaker_okhttp,0.3,32,1199,22,839,10,360,0.412414106,0.209274144,0.000565606,-,-,0,0.972972973,0,1,0,0,10,360,-,-,-,-
DeFlaker_okhttp,0.2,32,1199,26,958,6,241,0.471673593,0.149811865,0.000606526,0.19047619,0.666666667,0.033333333,0.97611336,0.033333333,0.999585062,0.2,0.1,5.8,240.9,0.666666667,0.333333333,0.023510336,0.976489664
DeFlaker_okhttp,0.15,32,1199,27,1019,5,180,0.500874247,0.107838995,0.000582913,0.166666667,0.5,0.02,0.972972973,0.02,0.999444444,0.1,0.1,4.9,179.9,0.5,0.5,0.026515152,0.973484848
DeFlaker_okhttp,0.1,32,1199,29,1078,3,121,0.52956413,0.074735774,0.000602708,0.25,0.5,0.033333333,0.975806452,0.033333333,0.999173554,0.1,0.1,2.9,120.9,0.5,0.5,0.023424879,0.976575121
DeFlaker_okhttp,0.5,32,1199,16,599,16,600,0.294361523,0.323871945,0.000525766,-,-,0,0.974025974,0,1,0,0,16,600,-,-,-,-
DeFlaker_okhttp,0.4,32,1199,19,719,13,480,0.353458589,0.270317608,0.000548312,0.142857143,1,0.007692308,0.973833671,0.007692308,1,0.1,0,12.9,480,1,0,0.026171637,0.973828363
DeFlaker_okhttp,0.6,32,1199,13,479,19,720,0.235473276,0.378387734,0.000512027,0.1,1,0.005263158,0.974424899,0.005263158,1,0.1,0,18.9,720,1,0,0.025578563,0.974421437
DeFlaker_okhttp,0.7,32,1199,10,359,22,840,0.176673406,0.434604507,0.000504182,-,-,0,0.974477958,0,1,0,0,22,840,-,-,-,-
DeFlaker_tachyon,0.9,7,609,1,60,6,549,0.031564554,0.287560099,0.000518126,-,-,0,0.989189189,0,1,0,0,6,549,-,-,-,-
DeFlaker_tachyon,0.75,7,609,2,152,5,457,0.078681642,0.241900192,0.000523593,-,-,0,0.989177489,0,1,0,0,5,457,-,-,-,-
DeFlaker_tachyon,0.8,7,609,1,122,6,487,0.062791505,0.256535501,0.000520356,-,-,0,0.987829615,0,1,0,0,6,487,-,-,-,-
DeFlaker_tachyon,0.65,7,609,2,213,5,396,0.109477996,0.211728482,0.000528001,-,-,0,0.987531172,0,1,0,0,5,396,-,-,-,-
DeFlaker_tachyon,0.15,7,609,6,517,1,92,0.26601808,0.05455508,0.000586614,-,-,0,0.989247312,0,1,0,0,1,92,-,-,-,-
DeFlaker_tachyon,0.35,7,609,5,395,2,214,0.203749218,0.120000533,0.000555558,-,-,0,0.990740741,0,1,0,0,2,214,-,-,-,-
DeFlaker_tachyon,0.25,7,609,5,457,2,152,0.23539453,0.087007338,0.000564983,-,-,0,0.987012987,0,1,0,0,2,152,-,-,-,-
DeFlaker_tachyon,0.55,7,609,3,274,4,335,0.141051632,0.179753178,0.000530245,-,-,0,0.98820059,0,1,0,0,4,335,-,-,-,-
DeFlaker_tachyon,0.1,7,609,6,548,1,61,0.281910036,0.037639268,0.000607085,-,-,0,0.983870968,0,1,0,0,1,61,-,-,-,-
DeFlaker_tachyon,0.3,7,609,5,426,2,183,0.219435022,0.104100028,0.000562703,-,-,0,0.989189189,0,1,0,0,2,183,-,-,-,-
DeFlaker_tachyon,0.2,7,609,6,486,1,123,0.250417348,0.07010455,0.000565359,-,-,0,0.991935484,0,1,0,0,1,123,-,-,-,-
DeFlaker_tachyon,0.6,7,609,3,243,4,366,0.125445923,0.197316054,0.000533287,-,-,0,0.989189189,0,1,0,0,4,366,-,-,-,-
DeFlaker_tachyon,0.85,7,609,1,91,6,518,0.047304396,0.273121198,0.000521224,-,-,0,0.988549618,0,1,0,0,6,518,-,-,-,-
DeFlaker_tachyon,0.7,7,609,2,182,5,427,0.093876925,0.227353023,0.00052628,-,-,0,0.988425926,0,1,0,0,5,427,-,-,-,-
DeFlaker_tachyon,0.5,7,609,3.5,304.5,3.5,304.5,0.15691049,0.164462256,0.000533968,-,-,0,0.988636364,0,1,0,0,3.5,304.5,-,-,-,-
DeFlaker_tachyon,0.45,7,609,4,334,3,275,0.172130681,0.149936685,0.000539341,-,-,0,0.989208633,0,1,0,0,3,275,-,-,-,-
DeFlaker_tachyon,0.4,7,609,4,365,3,244,0.188201914,0.13574464,0.000549573,-,-,0,0.987854251,0,1,0,0,3,244,-,-,-,-
iDFlakies_activiti,0.15,20,33,17,28,3,5,0.051756524,0.010431872,0.001303984,0.89,1,0.833333333,0.9375,0.833333333,1,2.5,0,0.5,5,1,0,0.090909091,0.909090909
iDFlakies_activiti,0.6,20,33,8,13,12,20,0.024640076,0.038231718,0.001194741,0.22985348,0.833333333,0.041666667,0.634375,0.041666667,0.99,0.5,0.2,11.5,19.8,0.714285714,0.285714286,0.367412141,0.632587859
iDFlakies_activiti,0.7,20,33,6,9,14,24,0.017478436,0.045062761,0.001185862,-,-,0,0.631578947,0,1,0,0,14,24,-,-,-,-
iDFlakies_activiti,0.5,20,33,10,16,10,17,0.030167192,0.032362739,0.00119862,0.485274046,0.902777778,0.31,0.722222222,0.31,0.964705882,3.1,0.6,6.9,16.4,0.837837838,0.162162162,0.296137339,0.703862661
iDFlakies_activiti,0.75,20,33,5,8,15,25,0.015183842,0.046711743,0.001167794,-,-,0,0.625,0,1,0,0,15,25,-,-,-,-
iDFlakies_activiti,0.4,20,33,12,19,8,14,0.035790075,0.026363298,0.001198332,0.737897103,0.935,0.625,0.845454545,0.625,0.971428571,5,0.4,3,13.6,0.925925926,0.074074074,0.180722892,0.819277108
iDFlakies_activiti,0.65,20,33,7,11,13,22,0.020916755,0.0416405,0.001189729,0.083333333,0.222222222,0.015384615,0.617142857,0.015384615,0.972727273,0.2,0.6,12.8,21.4,0.25,0.75,0.374269006,0.625730994
iDFlakies_activiti,0.1,20,33,18,29,2,4,0.053959634,0.008314548,0.001385758,0.925925926,1,0.8,0.933333333,0.8,1,1.6,0,0.4,4,1,0,0.090909091,0.909090909
iDFlakies_activiti,0.3,20,33,14,23,6,10,0.042555442,0.019643507,0.001227719,0.851774892,0.975,0.783333333,0.90625,0.783333333,0.98,4.7,0.2,1.3,9.8,0.959183673,0.040816327,0.117117117,0.882882883
iDFlakies_activiti,0.2,20,33,16,26,4,7,0.048360746,0.013922462,0.001265678,0.942857143,1,0.9,0.963636364,0.9,1,3.6,0,0.4,7,1,0,0.054054054,0.945945946
iDFlakies_activiti,0.55,20,33,9,14,11,19,0.026672827,0.035610086,0.001187003,0.351538462,0.84,0.118181818,0.663333333,0.118181818,0.978947368,1.3,0.4,9.7,18.6,0.764705882,0.235294118,0.342756184,0.657243816
iDFlakies_activiti,0.45,20,33,11,18,9,15,0.033462791,0.028771525,0.001198814,0.660021712,0.95,0.488888889,0.791666667,0.488888889,0.973333333,4.4,0.4,4.6,14.6,0.916666667,0.083333333,0.239583333,0.760416667
iDFlakies_activiti,0.8,20,33,4,6,16,27,0.011879949,0.050222237,0.001167959,-,-,0,0.627906977,0,1,0,0,16,27,-,-,-,-
iDFlakies_activiti,0.85,20,33,3,4,17,29,0.008354841,0.053635439,0.001165988,-,-,0,0.630434783,0,1,0,0,17,29,-,-,-,-
