dataset,FCAcc,async-wait,concurrency,input-output,network,test-order-dependency,NO,OD
iDFlakies_activiti,0.916666667,-,-,-,-,-,-,0.916666667
iDFlakies_apache-hadoop,0.69,-,-,-,-,-,0.583333333,0.733333333
iDFlakies_apache-incubator-dubbo,0.625,-,-,-,-,-,0.527777778,0.777777778
iDFlakies_elastic-job-lite,-,-,-,-,-,-,-,-
iDFlakies_http-request,1,-,-,-,-,-,-,1
iDFlakies_java-websocket,0.8,-,-,-,-,-,0.8,-
iDFlakies_retrofit,0.083333333,-,-,-,-,-,0.083333333,-
iDFlakies_vertx-rabbitmq-client,0,-,-,-,-,-,0,-
iDFlakies_wildfly,0.838333333,-,-,-,-,-,-,0.838333333
PalombaEtAl_ant-ivy,0.909014182,0.932858144,0.583333333,0.917975456,0.926600395,0.857163131,-,-
PalombaEtAl_apache-derby,0.712962963,0.611111111,-,-,-,0.833333333,-,-
PalombaEtAl_apache-hbase,0.811412717,0.79765341,0.869642857,0,0.5,1,-,-
PalombaEtAl_apache-hibernate-orm,0.947916667,-,-,0.947916667,-,-,-,-
PalombaEtAl_apache-hive,0.871111111,0.875,0.766666667,-,-,0.962962963,-,-
PalombaEtAl_apache-karaf,0.85979798,0.880555556,0.5,0.9375,1,1,-,-
PalombaEtAl_apache-nutch,0.742445778,0.780160256,0.65,-,0.666666667,0.625,-,-
PalombaEtAl_apache-pig,0.835039665,0.851817582,0.876623377,0.834034471,0.648333333,0.740714286,-,-
PalombaEtAl_apache-qpid,0.783484848,-,0.787380952,0.783809524,-,0,-,-
PalombaEtAl_apache-wicket,0.802083333,-,0.8125,0.833333333,-,-,-,-
PalombaEtAl_lucene-solr,1,-,-,-,-,1,-,-
