dataset,FCAcc,async-wait,concurrency,input-output,network,test-order-dependency,NO,OD
iDFlakies-dataset_Activiti,1,-,-,-,-,-,-,1
iDFlakies-dataset_apache-hadoop,1,-,-,-,-,-,-,1
iDFlakies-dataset_apache-incubator-dubbo,-,-,-,-,-,-,-,-
iDFlakies-dataset_elastic-job-lite,-,-,-,-,-,-,-,-
iDFlakies-dataset_http-request,1,-,-,-,-,-,-,1
iDFlakies-dataset_java-websocket,1,-,-,-,-,-,1,-
iDFlakies-dataset_retrofit,-,-,-,-,-,-,-,-
iDFlakies-dataset_vertx-rabbitmq-client,-,-,-,-,-,-,-,-
iDFlakies-dataset_wildfly,1,-,-,-,-,-,-,1
palomba-dataset_ant-ivy-2.1.0,0.976069795,0.990909091,0.9,1,0.959331502,0.943888889,-,-
palomba-dataset_apache-cassandra-1.1.0,-,-,-,-,-,-,-,-
palomba-dataset_apache-derby-10.9.1.0,0.666666667,-,-,-,-,0.666666667,-,-
palomba-dataset_apache-hbase-0.94.0,0.951428571,0.91,1,-,-,-,-,-
palomba-dataset_apache-hibernate-orm-hibernate-orm-4.0.0.Final,1,-,-,1,-,-,-,-
palomba-dataset_apache-hive-0.9,0.9,0.888888889,1,-,-,1,-,-
palomba-dataset_apache-karaf-2.3,1,1,1,1,1,-,-,-
palomba-dataset_apache-nutch-1.4,0.918888889,0.896666667,1,-,-,1,-,-
palomba-dataset_apache-pig-0.8.0,0.938656616,0.934496957,1,0.956645869,0.813333333,0.814814815,-,-
palomba-dataset_apache-qpid-0.18,0.98,-,1,0.958333333,-,-,-,-
palomba-dataset_apache-wicket-1.4.20,0,-,0,-,-,-,-,-
palomba-dataset_jfreechart-1.0.14,-,-,-,-,-,-,-,-
palomba-dataset_lucene-solr-releases-lucene-solr-3.6.0,-,-,-,-,-,-,-,-
