dataset,dataset_bytes,overhead_bytes
DeFlaker_handlebars,150958,1405256
DeFlaker_logback,322696,2298472
DeFlaker_okhttp,623770,3570168
DeFlaker_tachyon,330379,2052888
iDFlakies_activiti,44920,181584
iDFlakies_apache-hadoop,1037706,3306219
iDFlakies_apache-incubator-dubbo,260545,1450072
iDFlakies_elastic-job-lite,307734,2095352
iDFlakies_http-request,103363,756448
iDFlakies_java-websocket,204294,1598059
iDFlakies_retrofit,6077828,1875800
iDFlakies_vertx-rabbitmq-client,498647,145584
iDFlakies_wildfly,96964,409411
PalombaEtAl_ant-ivy,945733,4049444
PalombaEtAl_apache-derby,12277447,19717793
PalombaEtAl_apache-hbase,2361140,7476369
PalombaEtAl_apache-hibernate-orm,989322,5021313
PalombaEtAl_apache-hive,638814,2047713
PalombaEtAl_apache-karaf,231922,1216721
PalombaEtAl_apache-nutch,152623,719257
PalombaEtAl_apache-pig,4413992,14551604
PalombaEtAl_apache-qpid,1751875,7031940
PalombaEtAl_apache-wicket,764468,3806129
PalombaEtAl_lucene-solr,4362417,10084872
